name,link,description,price,name_nearby_place,hotel_class,img_origin,location_rating
The Blossom Resort Danang,https://www.theblossomhotels.com/,"Relaxed resort on an island in a river, offering a restaurant, a hot-spring bathhouse & a spa.",326794965000,"Dragon Bridge, Danang International Airport, Nhà Hàng Cội Nguồn Đảo Xanh",5-star hotel,"https://lh5.googleusercontent.com/p/AF1QipONmUccJD-BJ9wc7056bAJ7XK_RQhgnn14uosNR=s10000, https://lh5.googleusercontent.com/p/AF1QipM6fWtchYTnK2eWMoBKZma6esSZDcteV0GtyFKP=s10000, https://lh5.googleusercontent.com/p/AF1QipOKt3BCBPq2KVzFvni4RLoitJtIWkQ46hUiufHI=s10000, https://lh5.googleusercontent.com/p/AF1QipPUisBheYWwcjnL_8bSmXGFwef32BhFau8s1u0h=s10000, https://photos.hotelbeds.com/giata/original/97/972965/972965a_hb_ro_212.jpg, https://photos.hotelbeds.com/giata/original/97/972965/972965a_hb_ro_203.jpg, https://lh5.googleusercontent.com/p/AF1QipOYOorsCnWG0ObMPe5cj4VB3_uNwQU7AZCLJCTO=s10000, https://photos.hotelbeds.com/giata/original/97/972965/972965a_hb_a_008.jpg, https://lh5.googleusercontent.com/p/AF1QipM3KNj8fIgstLOsGxrprAkrjBN0VpSunsHj7fFm=s10000",3.5
Khách sạn Eden Plaza Đà Nẵng,http://www.edenplazadanang.com/,"Refined quarters in an upmarket hotel offering a restaurant, karaoke facilities & an outdoor pool.",134706390000,"Dragon Bridge, Số 149 Núi Thành, Danang International Airport, Nhà Hàng Tiệc cưới và Sự kiện Eden Plaza",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOFxCW4Z7Ksa31tRDu7a_eoSTfg2nOGrafo7WYs=s10000, https://lh5.googleusercontent.com/p/AF1QipPcpSMvYfLeojnKSZY-2iKWkHnKOb3SPqj72HIB=s10000, https://lh5.googleusercontent.com/p/AF1QipOOHctd_px9RLtB6Kug5aOjDE_l1p0YbGG3iFlR=s10000, https://lh5.googleusercontent.com/p/AF1QipM-XpsENTBZMvuxLB0AF67ELKsn1IKB_c7klmRf=s10000, https://lh5.googleusercontent.com/p/AF1QipNUGE9RLSd4HDQZQyGN_ftG7k9SdYifpLsA87Wj=s10000, https://lh5.googleusercontent.com/p/AF1QipOC7iQNzGsb5I46dASDdt-s8dfCyeCweoBveGYL=s10000, https://lh5.googleusercontent.com/p/AF1QipMu9V9EhfMR-uiNIb_YA4UM7BNNXIsm1ea4OVDZ=s10000, https://lh5.googleusercontent.com/p/AF1QipP0piS9nMX0AWNeFfZJPCBHxlfclHk6ZNaN8tL3=s10000, https://photos.hotelbeds.com/giata/original/69/696400/696400a_hb_a_003.jpg",3.6
Signature by M Village Đà Nẵng Heritage,https://mvillage.vn/chi-nhanh/signature-by-m-village-da-nang-heritage,No description,202026755000,"Dragon Bridge, Số 6 Trần Phú, Danang International Airport, DOM Bistro",No class,"https://lh5.googleusercontent.com/p/AF1QipNYKhdPB9Ik6Uc6BC4GEVhcX_QCuwCrg7pOvYq0=s10000, https://images.trvl-media.com/lodging/112000000/111140000/111134000/111133986/b241b939_z.jpg, https://lh5.googleusercontent.com/p/AF1QipNku7Fkf0AToNnHsXNwR6bu9Z_I1XKrmQrfcGGD=s10000, https://lh5.googleusercontent.com/p/AF1QipPclkdI3OBAQtncqqs3j_pzTPkPA3CRa1A3qgjt=s10000, https://lh5.googleusercontent.com/p/AF1QipN4fmrMwLrM9EkfJWqZQXM0T3r3yp3wK3dHw2Xs=s10000, https://lh5.googleusercontent.com/p/AF1QipOnx3xlMmahZZbJzimnSCqJlVnilVmjCY5mnJao=s10000, https://lh5.googleusercontent.com/p/AF1QipNIRCkUyAhaFKZC40uVq4WNCV-h834c3-eyJEVc=s10000, https://images.trvl-media.com/lodging/112000000/111140000/111134000/111133986/af366e1d_z.jpg, https://images.trvl-media.com/lodging/112000000/111140000/111134000/111133986/2ceedacb_z.jpg",4.5
Seahorse Han Market by Haviland,https://havilandhouse.com/seahorse-han-market-da-nang-hostel-by-haviland,"Breezy dorms, studios & suites, some with kitchenettes, in a casual hostel offering a cafe & a bar.",167572895000,"Han Market, Đối Diện Chợ Hàn Bạch Đằng, Danang International Airport, Cardi Pizzeria Bạch Đằng",No class,"https://lh5.googleusercontent.com/p/AF1QipO_8SIMONiyAAibwltPO8xYEVjmPm_ZGgzBnTAA=s10000, https://images.trvl-media.com/lodging/34000000/33020000/33010800/33010779/bc3be36c_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOkdxitG_HrLhV93zHhRIfKOzKe5kJ_cgT-dfFN=s10000, https://lh5.googleusercontent.com/p/AF1QipMf9C3hpErOQWi1jIuE5e4qZ6R7p91LcDVqYol9=s10000, https://lh5.googleusercontent.com/p/AF1QipPlj93hs_63fHi6LZNEaF0k7D0O5j2Fgx8VzW1a=s10000, https://lh5.googleusercontent.com/p/AF1QipPw_gfQuXbrjlWibwomNMAoggPLokvuA0dZW6U-=s10000, https://lh5.googleusercontent.com/p/AF1QipMNcGLDVoOdaNhvAf8Am51FHfSwz57N8QU27rip=s10000, https://lh5.googleusercontent.com/p/AF1QipPjWxhObJ3QgcOxs8MTjf-JMZYGKK0VuXVD2J0j=s10000, https://images.trvl-media.com/lodging/34000000/33020000/33010800/33010779/458bcb7d_z.jpg",4.9
La Belle Vie Boutique Hotel,https://labellevieboutique.com/,No description,100011940000,"Da Nang Museum of Cham Sculpture, Bến Xe Buýt Xuân Diệu, Danang International Airport, Bia Tô Lão Đại",No class,"https://images.trvl-media.com/lodging/89000000/88940000/88937600/88937598/f2e80aa1_z.jpg, https://images.trvl-media.com/lodging/89000000/88940000/88937600/88937598/7ee0fa04_z.jpg, https://images.trvl-media.com/lodging/89000000/88940000/88937600/88937598/4de5ac7d_z.jpg, https://lh5.googleusercontent.com/p/AF1QipNQ0d868Ash7ScHbnVgX2wK77By1EsxsJM4JZAv=s10000, https://images.trvl-media.com/lodging/89000000/88940000/88937600/88937598/0b76184b_z.jpg, https://images.trvl-media.com/lodging/89000000/88940000/88937600/88937598/e9a06865_z.jpg, https://lh5.googleusercontent.com/p/AF1QipPLSMzMrAOK9VTlovofL8Tp5kbpyn3deoujF1sA=s10000, https://lh5.googleusercontent.com/p/AF1QipPAVw8gx95TZBR-duHg0fwWNHkQ58XVHAVI-3A6=s10000, https://lh5.googleusercontent.com/p/AF1QipO5WB1ov1CfMtG8J9mmgfBFh_7px5pj_iZB_uu0=s10000",3.4
Han Riverine Hotel n' Cafeteria,No link,No description,68103140000,"Han River Bridge, Đối Diện Chợ Hàn Bạch Đằng, Danang International Airport, LoCo Restaurant - Danang seafood restaurant - 다낭 레스토랑",No class,"https://lh5.googleusercontent.com/p/AF1QipPc2tNcGnAGoWMApgUhq0Tmif394EWgrsauIsKE=s10000, https://lh5.googleusercontent.com/p/AF1QipPkvrj1M1dlSA0hV639zJXBVIaN4DkE_iveU2Xa=s10000, https://lh5.googleusercontent.com/p/AF1QipMrIvES5uET2BffEjB5yk0Iacq2LuZjIjyJ0Aic=s10000, https://lh5.googleusercontent.com/p/AF1QipPvXZCB6ZapCEvGAqzknQAA0hXbzKQ31RsiVwL5=s10000, https://lh5.googleusercontent.com/p/AF1QipOOo35j8j_WKx4rhmyfe04Qik7LBGIE9qoE9mxb=s10000, https://lh5.googleusercontent.com/p/AF1QipNZmEW8SjDXAip6CcG20p1wfhF34u1PW_HhShWU=s10000, https://lh5.googleusercontent.com/p/AF1QipMXeBf4MtimBaRZ0ukwBcDIGYkRQe_eoQ31Sq-I=s10000, https://lh5.googleusercontent.com/p/AF1QipOtcbenP57xSadmq6OJU-v8XBjzkcNMB_ilwM6-=s10000, https://lh5.googleusercontent.com/p/AF1QipP8jpkqS8sjMXfhBmimwDhWygsv-4aCRCcCSdos=s10000",4.7
Gold Hotel Da Nang,https://havilandhouse.com/gold-hotel-da-nang-by-haviland,Modest rooms in a streamlined hotel offering a cafe/bar & a restaurant with a rooftop terrace.,79397395000,"Dragon Bridge, Đối Diện 50 Núi Thành, Danang International Airport, ANs - Vegetarian Cuisine",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNNWToPDnI91yv6Q7A916IhNG-XIcWetMw0kQtZ=s10000, https://lh5.googleusercontent.com/p/AF1QipMzj78FNJoPCGuE0kVB3MamHHE1AzaaMBPxBcg7=s10000, https://lh5.googleusercontent.com/p/AF1QipOfIKUNi5uiDYzGhj3m0fq4IX3BSzK4l92Kw2_W=s10000, https://lh5.googleusercontent.com/p/AF1QipPjOSNTtcpsLGhNj6rfMGze1_uyKBaP7xwYvSss=s10000, https://lh5.googleusercontent.com/p/AF1QipPtpcaZ7Syvq6DzAY7Cxtt1PUItpkRsMeMFdXlT=s10000, https://cdn.worldota.net/t/1024x768/content/3d/c2/3dc2d2313e795c4689527433da1b40f33687d350.JPEG, https://images.trvl-media.com/lodging/6000000/5440000/5435400/5435370/6bffbe4e_z.jpg, https://cdn.worldota.net/t/1024x768/content/c8/ff/c8ffb240e91d417878a1d5a17bd48e8d87eff639.jpeg, https://cdn.worldota.net/t/1024x768/content/ff/54/ff54545ccd60e99aa768676ca20cf68021653f60.JPEG",4.7
Grand Mercure Danang,https://grandmercuredanang.com/vi/grand-mercure-danang/contact/,"Warm rooms & suites in a polished property with 2 restaurants, an outdoor pool & a tennis court.",389776135000,"Dragon Bridge, Nhà Hàng Phì Lũ Đường 2 Tháng 9, Danang International Airport, The Golden Dragon",5-star hotel,"https://photos.hotelbeds.com/giata/original/15/151731/151731a_hb_l_002.jpg, https://lh5.googleusercontent.com/p/AF1QipM2lip04HIBx92lGYvrsphrjN8TjQckRTCHHldb=s10000, https://photos.hotelbeds.com/giata/original/15/151731/151731a_hb_a_025.jpg, https://photos.hotelbeds.com/giata/original/15/151731/151731a_hb_ro_013.jpg, https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/5/0/89/356/655/7821_rs_00_p_3000x2250_O.jpg, https://photos.hotelbeds.com/giata/original/15/151731/151731a_hb_ba_003.jpg, https://d2hyz2bfif3cr8.cloudfront.net/imageRepo/5/0/89/356/831/7821_de_01_p_3000x2250_O.jpg, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/d3/05/e7/privilege-lounge.jpg?w=2100&h=800&s=1, https://cdn.worldota.net/t/1024x768/content/4b/e9/4be9f253602dbf8658fbd3b3257db9b247b111f5.jpeg",3.8
New Orient Hotel Danang,https://neworienthoteldanang.com/?utm_source=googlelisting&utm_medium=noh&utm_campaign=gmb,"Chic quarters in a modern hotel offering 2 restaurants & a sky bar/lounge, plus a pool & a spa.",255338020000,"Dragon Bridge, Đối Diện 20 Đống Đa, Danang International Airport, Nhà hàng Madame Lân",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNcQmvoQIOZJu2DdW4eQacNVbwlLAWknPfr1HIy=s10000, https://lh5.googleusercontent.com/p/AF1QipMRmn2mxLH5L91PITHb33Hx988qxSa3NdKiZQKC=s10000, https://lh5.googleusercontent.com/p/AF1QipMdrOTDNeaBpnmiOZzfz0PwmoMm8mY1PqToMU8X=s10000, https://lh5.googleusercontent.com/p/AF1QipPBTYFuzsnqKQeRoUMP_83SpHy1vBjToH1jcay7=s10000, https://lh5.googleusercontent.com/p/AF1QipP-lsYEzUzZ-OzQgGAt4bcmUx7PCZVP-4FukmId=s10000, https://lh5.googleusercontent.com/p/AF1QipMw_CixOKKS3XnVZD6GtjcsWWhyPrRNqRldeeT7=s10000, https://lh5.googleusercontent.com/p/AF1QipMEt7v66Sr9nivPHGW18IphJfAPv5l46B8NkPCO=s10000, https://lh5.googleusercontent.com/p/AF1QipPtsWrBqhjdbcqCCs-RNMqez8Z5VSYawdX9nGLf=s10000, https://lh5.googleusercontent.com/p/AF1QipPDl6_cHnP7j49oe06TwH6aETTtrPPwS3ZtK_Yq=s10000",4.1
HAIAN Riverfront Hotel Da Nang,https://www.haianriverfronthotel.com/,"Upscale hotel featuring a restaurant & a rooftop bar, plus a spa, a gym & an open-air infinity pool.",325041745000,"Da Nang Cathedral, Đối Diện 155 Trần Phú, Danang International Airport, Thai Market",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipOF_LHZ0sHl6nZGzOBNHg8ixP0qernFpU1Mt77E=s10000, https://lh5.googleusercontent.com/p/AF1QipN0xD-VOEbrjicrdHUq0zzSPVNuVsrj2QSMU3rj=s10000, https://images.trvl-media.com/lodging/54000000/53930000/53927100/53927018/w4200h2796x0y0-aa88990e_z.jpg, https://photos.hotelbeds.com/giata/original/73/735881/735881a_hb_ro_052.jpg, https://lh5.googleusercontent.com/p/AF1QipOic-lE2rbTrJ1L2Maz_ei6KOShBoPb9NkvTZuL=s10000, https://lh5.googleusercontent.com/p/AF1QipPeblREkHBGj744uo7M-DEW_1lBMDkt0fqVHx7d=s10000, https://lh5.googleusercontent.com/p/AF1QipPK8dX0DW7aYTHKri6eAkmpdpZwNsKYholiKS6S=s10000, https://lh5.googleusercontent.com/p/AF1QipPfVAoCeRqa2K8z6L31ejN1mbfregOHPH8-aASN=s10000, https://lh5.googleusercontent.com/p/AF1QipO9vCdfNHaV8VhTnfKbAk8wJ7sbuuRHAKRNw-nK=s10000",5.0
Sanouva Danang Hotel,https://www.sanouvadanang.com/,"Bright quarters in a polished hotel offering a spa & a chic restaurant, plus river or city views.",201652640000,"Han Market, Số 92 Phan Châu Trinh, Danang International Airport, Vinh Hanh Hong Kong Style Restaurant",4-star hotel,"https://lh5.googleusercontent.com/p/AF1QipN8eZ6iMasCo1NN87X5G3isAATuxvRKGUN1qGkC=s10000, https://lh5.googleusercontent.com/p/AF1QipPfyCpE0IolmSqempE6rJfbTanvKMpJ6q3EAio1=s10000, https://lh5.googleusercontent.com/p/AF1QipObnGH4AK84ndiWRN1WVQ5qnCYDDdtcmARClQIZ=s10000, https://photos.hotelbeds.com/giata/original/53/533401/533401a_hb_p_010.jpg, https://lh5.googleusercontent.com/p/AF1QipMZXtIv64W8O5ls9iB5q1qfIy-s0ff8RdeBqRy2=s10000, https://lh5.googleusercontent.com/p/AF1QipML5f0r0SEe-lcCa_-qkcjGAjMuc7lrEDBV_JCy=s10000, https://lh5.googleusercontent.com/p/AF1QipMdXYvet3zL4KyrDnb3sDQChdUYA8o2h-z-13yL=s10000, https://photos.hotelbeds.com/giata/original/53/533401/533401a_hb_p_012.jpg, https://lh5.googleusercontent.com/p/AF1QipMtFs3caenXjXQaDTQ4FZ7jiQsEAhUJxPtI4kCM=s10000",4.8
SOJO Hotel Da Nang,https://sojohotels.com/vi,No description,163222920000,"Han River Bridge, Đối diện số 10, Danang International Airport, Forever",No class,"https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/02/19/8b/caption.jpg?w=1900&h=1100&s=1, https://lh5.googleusercontent.com/p/AF1QipNgFCtLlYRP01Ltvm99l3QlTcXzpJuc97TkHU_1=s10000, https://images.trvl-media.com/lodging/107000000/106270000/106267200/106267191/dc8bd677_z.jpg, https://lh5.googleusercontent.com/p/AF1QipOGegeCgeNSLm3I5HN04SIuzh4Ud7cSazCPj60M=s10000, https://lh5.googleusercontent.com/p/AF1QipMEda-yho59H4oTBrc6RFsN3Ga4JXY36adRCWgL=s10000, https://images.trvl-media.com/lodging/107000000/106270000/106267200/106267191/f2ed1cc4_z.jpg, https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/02/19/90/caption.jpg?w=1900&h=1100&s=1, https://images.trvl-media.com/lodging/107000000/106270000/106267200/106267191/caf3b030_z.jpg, https://images.trvl-media.com/lodging/107000000/106270000/106267200/106267191/c6826107_z.jpg",4.7
"Crowne Plaza Danang City Centre, an IHG Hotel",https://www.ihg.com/crowneplaza/hotels/us/en/da-nang/dadcc/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-VN-_-DADCC,No description,461772815000,"Dragon Bridge, Số 28 Quang Trung, Danang International Airport, Nhà Hàng Làng Nghệ",5-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNfZ4iwntiUIFGvJTfvbhjFFK8wDHo2KdkS8MmI=s10000, https://lh5.googleusercontent.com/p/AF1QipNHqDsu7anu-urub-_GEmqaEDWERwQgvsqCKIoK=s10000, https://lh5.googleusercontent.com/p/AF1QipPZ-6DlMMkiT6i5mvLKIllxiWkLUTl1xPI3WyRj=s10000, https://lh5.googleusercontent.com/p/AF1QipNk85yK5lpaPqO6xvoSK2eJlZh1BPoXPZlaoWIe=s10000, https://lh5.googleusercontent.com/p/AF1QipPeEV1T6Tg9q-EHbctPk4_--izme50dbd_qaTQn=s10000, https://lh5.googleusercontent.com/p/AF1QipMJV_8chXdJ74xczJApBIdhQcXY_rRgiwZ_IQjt=s10000, https://lh5.googleusercontent.com/p/AF1QipONlYVzffsfzXU9MqQQJZjqUP3CPAKHvYIBasCO=s10000, https://lh5.googleusercontent.com/p/AF1QipPoYnttW3DEmJN3jyVasz9VpWWHfzD7cGZEjJhG=s10000, https://lh5.googleusercontent.com/p/AF1QipO-y4Dq6bGwDiA1CBMjbXsvyEkXmKITObYJG0Cs=s10000",4.7
Seahorse Signature By Haviland,https://havilandhouse.com/seahorse-signature-danang-hotel-by-haviland,No description,138773390000,"Da Nang Museum of Cham Sculpture, Số 131 Hoàng Diệu, Danang International Airport, Bà Thôi",3-star hotel,"https://lh5.googleusercontent.com/p/AF1QipNpUgJ4wYEN-tynFHIppmwIbYC1sTEJAXn0Nn5V=s10000, https://lh5.googleusercontent.com/p/AF1QipMWvcQeG1q820u8-9xBgvokRQDle_AtYwJbHs2M=s10000, https://lh5.googleusercontent.com/p/AF1QipOfXNcmOMjslYtH_-lKf0thIbPYzPMrnk0mA2V7=s10000, https://lh5.googleusercontent.com/p/AF1QipMX-g3C8CO2eHRPZeUI6qcKDzqahJ3YAhDODFxB=s10000, https://lh5.googleusercontent.com/p/AF1QipMlqKlTV8zBvJK5EpuHbk-fxdX_HhD6teB_xsLY=s10000, https://lh5.googleusercontent.com/p/AF1QipMLjN5Y3700EdSoj4splfBe2hG-wcwhjUnbU82q=s10000, https://lh5.googleusercontent.com/p/AF1QipNjXbdAXGfMADHJ8Vc7s2HoDm61R5UUgvESiWtZ=s10000, https://lh5.googleusercontent.com/p/AF1QipMAHMFGHrpm94MIhbW5spQVJnfdkMRQdj7e_rHm=s10000, https://lh5.googleusercontent.com/p/AF1QipN-GUeBgAl4E--QH0jwma9gLkGqbXzx8--nI5Bo=s10000",4.8
Seahorse Tropical Office & Hotel,https://havilandhouse.com/seahorse-tropical-da-nang-hotel-by-haviland,Stylish rooms & apartments in a sophisticated hotel offering a coffee shop & a rooftop pool.,108759420000,"Han Market, Công Viên Hùng Vương, Danang International Airport, Nhà Gỗ Restaurant Da Nang",2-star hotel,"https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/b07ec70c_z.jpg, https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/bcf61816_z.jpg, https://lh5.googleusercontent.com/p/AF1QipPnvlYrSgiBy0TQbPlUSjrMHlv1L8g1pvIgM5Eq=s10000, https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/947f7bc3_z.jpg, https://lh5.googleusercontent.com/p/AF1QipN76Mhc_6zZIAP4nX3mKJ6JXKWo3UQuxjUQGO1T=s10000, https://lh5.googleusercontent.com/p/AF1QipPHiJk2pedjYHLPx4eglMmjX-dfmDN2m0793vZ7=s10000, https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/939ac0ec_z.jpg, https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/d429a61c_z.jpg, https://images.trvl-media.com/lodging/46000000/45680000/45676800/45676743/0b011d11_z.jpg",4.7
Cosy House Da Nang,No link,No description,263531800000,"Danang International Airport, Nhà Hàng Không Gian VIP",No class,"https://images.trvl-media.com/lodging/46000000/45480000/45478500/45478496/13b116c1_z.jpg, https://metasearch-cdn.azureedge.net/remote/i.travelapi.com/lodging/46000000/45480000/45478500/45478496/d16af772_z.jpg?w=1024&h=750&mode=crop&scale=both&anchor=middlecenter, https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZsL6duyt263E2HQmSealQsnKfqXfXI-GgjQubLN7VmOuyNidr-Yu-DG6wFzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4zdvzZQ3nG9m-EOZqmc2WQNKPhO30Ezy-ivq5tXakqv78O59snVYlhysf1Hoq6bVgdxFz5oAzWmd-QpU5E9Rgh64AZ_KQd1YCIrcg9dvSAj6EtraH2nCd7k, https://metasearch-cdn.azureedge.net/remote/i.travelapi.com/lodging/46000000/45480000/45478500/45478496/0241e036_z.jpg?w=1024&h=750&mode=crop&scale=both&anchor=middlecenter, https://metasearch-cdn.azureedge.net/remote/i.travelapi.com/lodging/46000000/45480000/45478500/45478496/54148c1c_z.jpg?w=1024&h=750&mode=crop&scale=both&anchor=middlecenter, https://metasearch-cdn.azureedge.net/remote/i.travelapi.com/lodging/46000000/45480000/45478500/45478496/9aec3f31_z.jpg?w=1024&h=750&mode=crop&scale=both&anchor=middlecenter, https://images.trvl-media.com/lodging/46000000/45480000/45478500/45478496/b8631439_z.jpg, https://images.trvl-media.com/lodging/46000000/45480000/45478500/45478496/dd843752_z.jpg, https://images.trvl-media.com/lodging/46000000/45480000/45478500/45478496/a4fbac85_z.jpg",3.5
